name,url,category,notes
St. Hilda's Primary School,https://www.shps.moe.edu.sg/,primary,GEP; GOVERNMENT-AIDED SCH
St. Joseph's Institution Junior,https://sjijunior.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
St. Margaret's School (Primary),https://www.stmargaretspri.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
St. Stephen's School,https://www.ststephens.moe.edu.sg/,primary,GOVERNMENT-AIDED SCH
Tampines North Primary School,https://www.tampinesnorthpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Tampines Primary School,https://www.tampinespri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Tanjong Katong Primary School,https://www.tanjongkatongpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Tao Nan School,https://www.taonan.moe.edu.sg/,primary,SAP; GEP; GOVERNMENT-AIDED SCH
Teck Ghee Primary School,https://www.teckgheepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Teck Whye Primary School,https://www.teckwhyepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Telok Kurau Primary School,https://www.telokkuraupri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Temasek Primary School,https://www.temasekpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Townsville Primary School,https://www.townsvillepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Unity Primary School,https://www.unitypri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Valour Primary School,https://valourpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Waterway Primary School,https://waterwaypri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Wellington Primary School,https://www.wellingtonpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
West Grove Primary School,https://www.westgrovepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
West Spring Primary School,https://www.westspringpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
West View Primary School,https://www.westviewpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Westwood Primary School,https://www.westwoodpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
White Sands Primary School,https://www.whitesandspri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Woodgrove Primary School,https://www.woodgrovepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Woodlands Primary School,https://www.woodlandspri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Woodlands Ring Primary School,https://www.woodlandsringpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Xinghua Primary School,https://www.xinghuapri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Xingnan Primary School,https://www.xingnanpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Xinmin Primary School,https://xinminpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Xishan Primary School,https://www.xishanpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Yangzheng Primary School,https://www.yangzhengpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Yew Tee Primary School,https://www.yewteepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Yio Chu Kang Primary School,https://www.yiochukangpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Yishun Primary School,https://www.yishunpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Yu Neng Primary School,https://www.ynps.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Yuhua Primary School,https://www.yuhuapri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Yumin Primary School,https://www.yuminpri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Zhangde Primary School,https://www.zhangdepri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Zhenghua Primary School,https://www.zhenghuapri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Zhonghua Primary School,https://www.zhonghuapri.moe.edu.sg/,primary,GOVERNMENT SCHOOL
Admiralty Secondary School,https://www.admiraltysec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Ahmad Ibrahim Secondary School,https://www.ahmadibrahimsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Anderson Secondary School,https://www.andersonsec.moe.edu.sg/,secondary,Autonomous; GOVERNMENT SCHOOL
Ang Mo Kio Secondary School,https://www.angmokiosec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Anglican High School,https://www.anglicanhigh.moe.edu.sg/,secondary,SAP; Autonomous; GOVERNMENT-AIDED SCH
Anglo-Chinese School (Barker Road),https://www.acsbr.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
Anglo-Chinese School (Independent),https://www.acsindep.moe.edu.sg/,secondary,GEP; IP; INDEPENDENT SCHOOL; IP/through-train
Assumption English School,https://www.assumptionenglish.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
Assumption Pathway School,https://www.aps.edu.sg/,secondary,SPECIALISED INDEPENDENT SCHOOL
Bartley Secondary School,https://www.bartleysec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Beatty Secondary School,https://www.beattysec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Bedok Green Secondary School,https://www.bedokgreensec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Bedok South Secondary School,https://www.bedoksouthsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Bedok View Secondary School,https://www.bedokviewsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Bendemeer Secondary School,https://www.bendemeersec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Boon Lay Secondary School,https://www.boonlaysec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Bowen Secondary School,https://www.bowensec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Broadrick Secondary School,https://www.broadricksec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Bukit Batok Secondary School,https://www.bukitbatoksec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Bukit Merah Secondary School,https://www.bukitmerahsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Bukit Panjang Govt. High School,https://www.bpghs.moe.edu.sg/,secondary,Autonomous; GOVERNMENT SCHOOL
Bukit View Secondary School,https://www.bukitviewsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
CHIJ Katong Convent,https://www.chijkatongconvent.moe.edu.sg/,secondary,Autonomous; GOVERNMENT-AIDED SCH
CHIJ Secondary (Toa Payoh),https://www.chijsec.edu.sg/,secondary,Autonomous; GOVERNMENT-AIDED SCH
CHIJ St. Joseph's Convent,https://www.chijstjosephsconvent.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
CHIJ St. Theresa's Convent,https://www.chijsttheresasconvent.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
Canberra Secondary School,https://canberrasec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Cedar Girls' Secondary School,https://www.cedargirlssec.moe.edu.sg/,secondary,Autonomous; IP; GOVERNMENT SCHOOL
Changkat Changi Secondary School,https://www.changkatchangisec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Christ Church Secondary School,https://www.christchurchsec.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
Chua Chu Kang Secondary School,https://www.chuachukangsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
